return,vol,sharpe
17.839999999791974,13.288123289760541,1.0415315765813742
18.004615384548384,13.290218594055833,1.0537535771467348
18.16923076944794,13.296777964195993,1.0656138507840909
18.333846153692235,13.30771909608095,1.077107658359987
18.498461538282765,13.323132255516285,1.0882171894885941
18.663076923269426,13.342962525285133,1.0989371285037077
18.827692307517374,13.367192951702592,1.1092599890711352
18.992307692114817,13.3957970945932,1.1191799626590342
19.156923077155458,13.428746610054551,1.128692313384405
19.321538461109935,13.46601142435959,1.1377933657024646
19.48615384614521,13.507563512116223,1.1464801799565258
19.650769230397795,13.553307223668511,1.1547564717684868
19.815384615402778,13.602830791963866,1.1626539252951686
19.980000000348785,13.656035511482989,1.1701785622124106
20.144615384261204,13.712879057114113,1.1773322959401096
20.309230768971616,13.773316779698428,1.1841178874946863
20.473846152754334,13.837299548901088,1.1905391000993852
20.63846153800208,13.904774182105529,1.1966006294021383
20.80307692306949,13.975648745878713,1.2023110503563963
20.96769230777499,14.049967735207023,1.2076677062579015
21.13230769243451,14.127627434463651,1.2126811647538982
21.296923076948648,14.208573020659207,1.2173582140725174
21.461538461506738,14.292748564092925,1.2217061248369423
21.626153845870288,14.380096443926874,1.2257326586508617
21.79076923089418,14.470559185995116,1.2294458702129787
21.95538461535313,14.564079942057859,1.2328540276342435
22.11999999982566,14.660600211336497,1.2359657680191112
22.284615384832172,14.760061187446766,1.2387899448806479
22.449230768987007,14.862403887328105,1.2413355812996767
22.61384615358489,14.96756927734468,1.24361182558609
22.778461538464466,15.075498386599126,1.2456279094001277
22.943076923113708,15.186182541894638,1.2473889913317449
23.107692307470533,15.299445702540815,1.2489140246628199
23.272307692322105,15.415298954687739,1.2502065479866327
23.436923076898143,15.533687375630892,1.2512755411436058
23.601538460250616,15.654607429841699,1.252125838868693
23.766153844174497,15.777875858535884,1.2527766108313585
23.93076923017907,15.903525244518619,1.253229640833783
24.09538461554516,16.031492378527957,1.2534943186237757
24.259999999913127,16.16164959959453,1.253584906358904
