Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
HD,337.34,49.3,330.47,355.74,368.87,-0.5,-9.4,-9.5,-2.3,22.8,3809528,0.84,-19.3,5.8,1
HON,235.04,56.7,228.12,234.22,209.81,0.7,13.9,23.4,28.3,22.1,4142889,0.46,-5.2,31.8,4
HRL,20.87,28.4,22.31,23.58,24.61,-8.1,-9.0,-10.0,-28.0,26.5,4216726,1.27,-31.5,0.0,0
HST,20.14,64.0,19.03,19.21,17.19,8.8,10.4,28.2,55.1,25.3,8930635,0.95,-0.2,58.6,4
HWM,252.67,59.7,237.69,240.19,205.07,3.6,15.8,34.0,101.6,29.9,2574276,0.46,-4.7,112.0,4
HPQ,18.26,42.7,18.84,18.78,23.17,-3.6,-13.6,-30.4,-18.2,32.8,12678884,1.07,-35.4,2.0,1
HUBB,536.01,65.8,493.57,498.73,451.73,14.4,14.2,28.7,53.5,29.1,545470,0.79,0.0,64.8,4
HUM,192.15,59.9,176.35,180.4,239.95,18.0,-30.2,-33.3,-33.8,49.2,1830305,0.75,-37.7,18.0,2
HBAN,16.38,57.0,15.55,16.56,16.54,6.9,-9.3,2.2,32.0,26.6,29571223,0.48,-14.1,32.0,2
HII,394.41,45.2,401.77,414.01,327.27,-4.9,2.2,38.9,86.2,32.0,511273,0.85,-13.1,86.3,2
IBM,230.76,35.4,243.81,256.07,274.16,-6.8,-23.7,-19.0,0.4,32.4,4969647,1.18,-26.3,3.3,0
IEX,201.09,60.6,190.8,199.66,178.52,6.9,9.3,22.2,21.2,26.2,729341,0.88,-6.3,28.7,4
IDXX,563.0,39.1,574.12,610.37,638.5,-1.4,-21.1,-10.5,44.0,42.1,568242,0.88,-26.6,44.0,0
ITW,270.52,55.1,262.16,275.2,257.1,2.5,6.7,10.4,19.4,20.3,1163780,0.84,-9.1,21.9,3
INCY,96.07,53.3,93.19,97.45,91.4,4.4,-10.1,13.4,68.9,32.7,1925320,0.6,-13.1,69.1,3
IR,85.38,53.6,81.79,88.45,82.94,5.2,-0.1,8.8,17.1,32.0,3247210,0.98,-13.5,22.6,3
PODD,196.93,23.2,214.55,233.53,290.26,-16.6,-31.9,-38.5,-22.5,37.8,784265,0.93,-44.2,0.0,0
INTC,62.38,75.4,48.18,47.21,36.19,37.9,36.9,65.0,216.0,63.7,100787945,0.98,0.0,231.1,5
IBKR,71.21,56.3,67.82,70.57,66.72,6.4,1.2,-1.7,67.1,37.9,5450160,0.68,-9.1,86.5,4
ICE,160.6,49.9,159.57,160.65,165.46,1.6,-2.9,1.4,4.2,21.7,3262524,0.84,-14.0,11.0,1
IFF,72.52,51.4,70.53,74.01,68.32,4.2,5.6,22.0,1.5,28.5,1974382,0.64,-12.1,23.3,3
IP,36.5,46.4,35.83,40.4,42.91,2.4,-14.9,-19.6,-18.8,39.5,5169872,0.82,-32.3,8.1,1
INTU,350.94,25.9,424.5,424.63,613.69,-19.1,-45.6,-45.3,-39.7,35.1,2373898,3.28,-56.2,0.0,0
ISRG,450.62,35.9,465.94,482.63,504.84,-6.0,-23.1,1.5,-8.7,28.8,1975356,0.74,-24.0,4.9,0
IVZ,23.58,46.2,23.61,24.98,23.3,3.0,-16.8,0.3,92.1,35.9,5498733,0.75,-19.3,97.0,2
INVH,26.02,61.1,25.0,25.57,27.71,4.9,-0.6,-4.9,-15.5,20.2,4934732,0.98,-23.5,8.0,2
IQV,167.34,43.7,168.1,175.88,196.46,2.7,-31.0,-17.6,15.0,40.3,1866283,0.78,-31.5,22.1,0
IRM,109.37,63.7,103.58,103.04,95.34,2.7,23.6,6.2,35.7,29.9,1708416,0.62,-2.6,39.8,5
JBHT,227.04,66.7,209.33,216.86,176.0,12.9,10.0,59.9,72.7,38.9,1181263,0.71,-3.4,84.0,4
JBL,299.5,65.9,268.72,260.7,228.8,18.8,32.5,46.4,127.4,39.2,1304140,0.89,0.0,131.2,5
JKHY,147.2,28.3,159.52,163.41,166.7,-11.5,-21.9,-0.7,-13.6,23.3,833458,1.44,-23.3,1.3,0
J,122.87,36.9,127.99,133.82,140.88,-5.1,-12.0,-20.6,7.5,29.4,886441,0.96,-24.9,8.3,0
JNJ,238.46,46.6,239.9,240.24,198.93,-1.5,17.3,26.3,61.5,16.6,8488529,0.87,-4.1,67.5,2
JCI,142.53,62.4,133.81,135.24,116.89,9.2,29.0,32.7,84.6,26.3,4718833,0.76,-1.7,92.7,4
JPM,309.87,66.6,291.89,298.03,300.15,10.1,-5.4,2.4,33.7,21.3,9237952,0.66,-6.9,38.0,3
KVUE,17.35,46.4,17.42,17.9,17.91,-0.2,4.3,5.5,-18.1,34.0,31308872,0.41,-26.0,25.9,0
KDP,26.57,48.6,26.32,27.68,28.44,-0.5,-3.5,4.6,-21.9,26.4,13862630,0.86,-23.1,6.8,1
KEY,21.46,65.4,19.97,20.74,19.03,11.7,2.3,20.5,63.5,25.4,19170093,0.49,-6.6,63.5,4
KEYS,324.18,69.6,291.88,271.98,203.1,14.6,56.4,89.5,142.7,38.2,1148053,1.03,0.0,145.8,5
KMB,97.28,45.3,97.96,101.84,111.15,-0.6,0.6,-16.6,-27.3,25.0,4079666,0.8,-29.4,4.5,0
KIM,23.17,61.6,22.68,22.51,21.12,1.0,14.8,11.8,20.7,19.3,4843399,1.25,-0.9,21.6,5
KMI,32.68,44.7,33.34,32.62,28.29,-2.0,21.7,21.3,28.8,20.3,13891857,0.78,-4.1,32.2,4
KKR,91.22,46.9,90.33,95.39,122.9,8.8,-32.1,-26.2,-9.5,37.4,4975232,0.82,-39.8,8.8,1
KLAC,1737.28,70.1,1523.2,1483.12,1191.92,23.2,24.3,65.4,161.2,44.9,1052742,0.65,0.0,182.0,5
KHC,23.06,52.9,22.36,23.26,24.47,3.3,0.1,-4.9,-16.4,25.1,14923680,0.87,-18.8,8.7,1
KR,67.99,39.3,72.42,70.07,67.25,-9.3,14.8,1.7,1.7,27.0,7059046,0.74,-10.1,15.3,3
LHX,353.59,49.3,355.07,353.89,302.23,-1.2,5.7,19.5,62.0,23.6,1327385,0.94,-6.3,68.0,3
LH,260.93,40.5,267.64,273.75,266.89,-0.8,3.9,-5.6,19.1,24.3,712184,1.12,-9.8,24.3,1
LRCX,263.66,66.9,227.09,228.07,161.72,25.9,20.9,87.5,293.6,49.0,11216904,0.81,0.0,325.7,4
LVS,53.45,44.7,53.73,55.07,56.2,-0.4,-8.9,4.0,70.0,36.6,5299569,0.55,-22.7,71.3,0
LDOS,152.88,32.2,160.7,171.42,178.95,-11.8,-22.7,-20.8,8.8,28.5,1001032,0.8,-23.0,11.7,0
LEN,88.97,39.9,90.54,103.13,115.96,-3.9,-25.1,-23.9,-14.0,36.6,3851246,1.09,-37.0,4.8,0
LII,505.31,58.6,468.45,507.8,529.11,5.1,-4.4,-4.9,-7.7,34.8,432202,1.21,-23.3,15.7,1
LLY,939.47,47.6,927.73,985.53,899.95,-3.9,-11.5,10.2,29.2,41.8,3805546,0.51,-15.2,51.0,3
LIN,503.15,59.0,494.06,485.62,456.59,2.6,13.7,10.6,15.4,16.5,2238422,0.52,-0.9,29.7,5
LYV,160.59,55.9,154.87,154.8,151.3,0.2,9.9,5.1,23.9,29.9,2712657,1.18,-7.7,30.1,5
LMT,613.72,44.1,625.18,636.52,512.37,-6.0,13.6,22.4,32.8,26.1,1576733,0.55,-9.3,52.5,2
L,109.47,56.6,107.31,108.49,101.45,1.0,4.7,7.2,29.6,15.1,761387,0.69,-2.4,31.7,4
LOW,244.22,51.7,235.72,255.54,246.4,2.0,-8.2,5.1,13.1,25.3,2800356,0.66,-15.0,17.6,2
LULU,163.86,51.8,158.23,168.54,187.01,3.6,-19.6,-5.5,-37.2,46.7,3668869,0.42,-51.1,12.4,1
LITE,897.3,64.8,750.02,658.87,320.86,45.6,155.3,461.7,1650.1,79.5,4020882,1.77,0.0,1692.1,5
LYB,73.72,52.0,75.94,65.12,52.87,-0.8,53.2,61.0,41.6,44.5,5611481,0.88,-10.5,81.1,4
MTB,219.92,63.0,205.75,215.51,198.62,11.0,4.6,18.7,43.4,22.6,1132977,0.69,-7.0,44.5,4
MPC,222.62,44.0,237.25,216.15,187.85,-3.2,27.0,19.9,84.2,30.2,2289932,0.97,-11.6,86.0,4
MAR,354.1,65.1,329.36,333.72,294.08,11.9,8.1,33.6,58.7,26.6,1546461,0.73,-1.4,65.7,4
MRSH,168.15,40.7,172.2,176.83,188.75,-1.1,-8.7,-17.5,-26.6,22.8,2650707,1.12,-27.8,0.0,0
MLM,631.53,61.1,588.73,630.91,615.31,7.5,-5.2,-0.1,29.1,24.1,430854,0.71,-10.7,30.9,4
MAS,62.97,51.7,60.58,66.44,66.88,3.8,-8.8,-5.7,3.6,31.6,2422675,0.73,-18.7,8.2,1
MA,498.66,47.1,497.43,514.08,549.97,0.4,-13.2,-11.4,-1.6,21.4,3014713,0.94,-16.4,3.2,1
MKC,53.71,45.2,52.85,61.19,65.88,-6.3,-20.7,-17.6,-27.9,27.9,2976684,2.5,-29.4,11.0,1
MCD,305.68,39.3,311.35,320.29,306.25,-5.6,0.0,5.2,0.9,16.2,3290926,0.82,-9.9,8.9,1
MCK,865.6,41.0,884.97,912.79,802.47,-8.3,6.2,14.4,26.1,28.4,783638,0.79,-13.1,31.7,2
MDT,87.21,43.6,86.75,92.83,93.1,0.6,-9.9,-8.2,8.5,19.2,7521897,1.1,-15.9,11.5,1
MRK,121.42,58.4,118.32,118.06,96.15,5.5,10.7,41.0,58.9,27.7,13357338,0.73,-1.4,71.3,5
META,629.86,57.5,591.27,633.26,681.68,-1.2,-3.5,-14.0,16.2,35.7,15020800,0.88,-20.1,30.4,1
MET,73.88,59.3,70.25,73.35,76.71,7.4,-6.3,-8.6,6.6,23.7,3416876,0.68,-9.9,9.1,2
MTD,1325.01,60.2,1249.98,1304.32,1328.33,13.4,-10.8,1.3,27.2,30.3,161395,0.75,-12.0,36.6,2
MGM,37.32,53.6,36.84,36.21,35.45,2.8,8.3,15.0,27.2,37.1,4821959,0.77,-6.2,31.1,5
MCHP,71.56,62.3,65.33,70.57,66.44,14.1,-4.3,10.3,90.4,45.5,8974123,0.9,-10.9,94.2,4
MU,420.59,57.4,397.46,402.81,249.86,3.8,21.9,118.9,506.2,58.5,28265104,1.28,-8.9,531.7,4
MSFT,370.87,38.4,377.13,393.62,472.59,-7.7,-22.4,-28.7,-3.8,23.9,25136673,1.12,-31.3,4.1,0
MAA,126.39,51.2,124.0,129.62,134.63,-1.1,-5.9,-4.2,-14.5,18.7,949046,0.82,-22.2,4.8,1
MRNA,50.96,50.8,51.34,49.37,34.16,-4.6,48.6,85.1,94.5,64.8,10503776,0.6,-11.8,127.9,4
TAP,45.05,54.0,42.98,46.41,46.72,3.1,-5.4,-0.0,-22.8,25.6,2837874,0.78,-22.8,9.5,1
MDLZ,59.0,58.3,57.2,58.18,59.08,9.5,8.0,-1.5,-9.1,22.0,8925879,0.76,-14.4,15.5,2
MPWR,1353.85,73.4,1126.08,1136.66,955.02,31.2,41.5,38.8,155.9,46.3,634855,0.82,0.0,168.4,4
MNST,75.72,51.8,73.99,78.23,70.79,-1.6,-2.1,9.7,30.2,22.3,5674109,0.67,-12.6,30.7,3
MCO,427.41,41.4,435.56,448.3,485.26,0.2,-19.4,-12.8,0.6,26.4,905574,1.17,-20.6,4.2,0
MS,177.64,66.7,164.33,168.84,161.03,15.1,-4.1,15.0,68.7,25.5,6048371,0.7,-6.6,71.6,4
MOS,24.76,42.3,26.08,27.32,29.19,-21.0,-3.9,-24.6,-1.1,42.2,6523158,1.05,-32.9,6.8,0
MSI,433.69,40.1,448.9,448.05,426.45,-6.0,13.5,-4.7,3.8,21.5,1076664,0.78,-10.8,19.6,3
MSCI,536.48,44.3,544.41,552.06,559.88,0.0,-7.3,-3.2,0.4,27.4,627477,0.85,-13.8,5.2,0
NDAQ,83.16,43.1,85.26,85.53,90.04,-0.8,-15.1,-8.5,17.7,23.8,3632627,0.93,-17.4,19.1,0
NTAP,95.93,40.5,100.85,100.18,107.78,-0.5,-8.5,-19.5,18.3,30.2,2106464,0.97,-23.0,20.2,1
NFLX,103.01,72.7,95.6,89.7,106.54,9.2,15.1,-16.3,12.2,32.6,40714666,0.63,-23.1,35.8,3
NEM,120.9,63.3,107.86,115.27,91.29,5.6,11.2,42.6,122.8,44.2,11225233,0.58,-8.2,151.7,4
NWSA,24.48,51.7,24.35,24.1,26.76,3.8,-7.1,-7.1,-5.8,23.6,3783710,0.69,-20.8,9.7,3
NWS,28.26,56.6,27.78,27.35,30.49,6.0,-6.1,-4.5,-5.9,23.9,1091169,0.71,-19.1,10.6,3
NEE,94.08,60.5,92.33,91.54,80.83,2.6,18.6,13.9,47.2,23.9,10479186,0.51,-1.0,49.8,5
NKE,42.62,22.8,49.76,56.63,65.34,-21.3,-34.9,-36.6,-19.7,39.2,16912103,1.54,-45.2,0.0,0
NI,48.05,61.9,46.78,46.16,42.75,2.9,15.1,13.4,28.3,18.4,4103248,0.77,-0.9,29.6,5
NDSN,275.28,55.5,267.13,278.05,242.03,3.1,5.7,18.5,50.4,22.5,382038,0.82,-7.7,57.6,3
NSC,296.29,57.6,286.97,299.62,285.63,1.7,3.6,1.4,38.5,19.1,1539261,0.93,-6.8,41.3,3
NTRS,152.23,69.2,140.59,143.12,133.43,10.9,5.0,18.5,76.8,25.9,1320030,0.62,-1.1,79.8,4
NOC,673.73,39.2,697.77,709.19,608.76,-8.5,9.2,6.9,28.2,28.1,866318,0.58,-12.3,50.0,2
NCLH,19.96,49.8,19.43,21.3,22.27,2.6,-18.6,-14.3,22.3,51.9,17349690,0.67,-25.9,24.5,1
NRG,164.07,59.0,152.66,158.78,158.82,7.9,10.3,-1.9,75.8,49.6,2587735,0.79,-10.8,78.4,3
NUE,186.12,69.5,167.82,174.93,154.33,12.7,14.0,35.6,69.9,31.1,1778702,0.92,-3.9,77.1,4
NVDA,188.63,61.4,177.42,182.07,180.72,3.0,2.0,-2.0,70.1,34.8,187577372,0.85,-8.9,94.7,4
NVR,6750.04,49.7,6569.58,7118.25,7539.8,4.8,-11.0,-11.4,-6.3,26.2,22027,0.6,-21.0,6.0,1
NXPI,204.37,53.1,195.1,212.57,217.53,7.4,-14.8,-6.8,23.4,37.7,2772507,0.87,-17.7,23.5,1
ORLY,93.01,53.1,90.82,93.06,97.05,0.0,-0.8,-6.7,0.4,21.2,5466098,0.8,-13.7,6.5,1
OXY,57.97,46.4,61.16,54.28,45.75,-0.8,35.9,31.6,57.2,33.0,12079961,0.87,-12.5,57.2,4
ODFL,208.35,64.0,192.19,193.95,161.68,18.2,20.5,48.0,37.8,40.0,2092382,0.51,-3.6,65.5,4
OMC,74.77,43.3,75.83,76.33,75.06,-4.0,-4.5,-1.7,2.8,35.4,4323304,0.74,-12.0,12.3,1
ON,68.65,64.5,61.89,63.74,55.75,19.0,10.4,37.4,95.7,51.2,9092427,0.69,-4.9,100.4,4
OKE,86.21,45.6,88.94,85.77,75.57,1.5,20.2,24.6,10.2,26.0,4150779,0.91,-8.2,35.9,4
ORCL,138.09,38.4,146.52,150.13,215.15,-12.9,-30.2,-53.2,5.4,60.2,21361318,1.22,-57.6,13.6,0
OTIS,79.95,45.5,79.19,85.39,88.45,-3.2,-11.0,-10.1,-16.1,23.9,3071925,0.82,-19.8,5.3,1
PCAR,127.19,68.6,116.93,121.49,106.18,8.9,7.3,36.1,44.2,26.0,2996838,0.82,-1.8,50.3,4
PKG,206.38,41.5,209.71,221.87,207.91,-3.0,-5.4,-1.2,11.9,25.8,842479,0.69,-15.7,17.5,1
PLTR,128.06,34.1,147.76,144.33,164.16,-16.6,-27.8,-31.0,44.6,53.9,63347356,1.84,-38.2,44.6,1
PANW,155.73,44.2,162.5,161.07,186.87,-7.4,-17.6,-27.6,-7.5,34.6,7354312,2.12,-29.7,9.9,1
PSKY,10.62,57.7,9.52,10.41,13.5,8.9,-11.5,-40.4,0.9,66.5,11383026,0.83,-45.7,20.8,2
PH,984.23,62.7,913.53,952.7,831.12,9.1,7.1,33.8,75.7,24.0,659680,0.78,-3.8,81.5,4
PAYX,85.57,32.1,91.52,93.99,116.35,-6.7,-24.0,-30.3,-39.6,24.6,3000442,1.23,-45.0,0.0,0
PYPL,45.24,49.5,44.99,44.61,60.86,2.0,-21.3,-40.0,-27.3,38.3,15561742,0.84,-41.9,16.1,3
PNR,90.21,50.9,87.63,94.06,103.04,2.2,-12.2,-17.5,10.9,26.9,1450656,1.02,-19.5,15.1,1
PEP,157.06,52.1,154.53,159.44,146.02,-1.1,13.3,10.6,13.1,22.0,8207998,0.54,-7.1,27.2,3
PFE,26.92,46.0,27.36,27.13,25.0,0.2,7.4,10.4,31.8,25.6,50079615,0.56,-5.7,31.8,3
PCG,18.54,63.7,17.81,17.65,15.8,2.9,17.3,14.8,10.6,27.6,23128022,0.47,-2.7,43.7,5
PM,160.45,41.3,163.68,172.98,162.78,-5.9,-0.4,4.1,8.0,25.1,5836890,0.76,-14.7,13.2,1
PSX,159.25,36.2,175.96,164.34,138.53,-8.5,12.9,23.5,69.5,30.9,2813200,1.04,-15.4,71.6,3
PNW,103.59,63.2,100.99,99.19,91.07,2.1,17.4,15.4,17.3,16.0,1213180,0.71,-0.8,23.1,5
PNC,221.13,64.4,207.88,217.27,200.87,9.1,2.4,17.9,50.8,22.1,2219997,0.81,-8.8,51.1,4
POOL,214.91,55.4,204.85,223.56,266.15,5.3,-14.3,-26.7,-29.7,33.2,683519,0.69,-34.9,8.1,1
PPG,110.33,55.1,104.2,113.81,107.28,9.5,3.3,12.2,12.4,27.9,1966790,0.7,-15.7,17.8,3
PPL,39.65,68.3,38.18,37.46,35.85,4.2,15.5,9.0,17.8,16.8,6598404,0.92,-0.4,22.1,5
PFG,91.8,55.7,88.78,91.13,83.96,6.5,2.6,13.1,31.3,22.9,1379702,0.7,-5.0,35.7,4
PG,145.16,44.4,145.17,153.01,150.31,-3.5,3.0,-2.2,-10.6,18.0,9131718,1.07,-13.2,5.9,1
PGR,194.13,38.4,200.58,204.05,216.75,-5.3,-9.7,-14.7,-25.0,22.6,3297116,0.95,-28.4,1.4,0
PLD,137.19,60.3,132.16,134.7,120.96,4.8,6.9,21.8,47.5,21.8,3764902,1.06,-3.1,47.5,4
PRU,96.9,49.9,95.23,98.82,103.04,4.9,-16.8,-3.0,3.3,22.7,1820326,0.94,-17.3,5.4,1
PEG,83.13,54.8,81.99,82.66,81.36,0.8,6.5,3.8,4.5,18.8,2827729,0.66,-5.5,11.0,4
PTC,133.44,26.9,145.32,152.2,181.26,-15.3,-22.2,-33.8,-8.2,32.9,986781,1.35,-38.4,0.0,0
PSA,295.0,62.6,278.16,287.64,279.36,0.1,7.1,2.5,9.7,22.2,992175,1.11,-4.2,15.3,4
PHM,120.33,48.7,118.13,127.21,123.86,0.1,-8.8,-0.5,28.3,34.5,1993595,1.37,-15.4,30.6,2
PWR,585.36,61.1,564.03,545.28,449.3,3.3,38.6,36.2,117.4,33.5,1090707,0.56,0.0,130.9,5
QCOM,128.06,42.0,128.53,135.86,156.14,-2.4,-27.5,-21.8,-5.9,32.3,9405470,0.9,-31.0,3.2,0
DGX,191.51,38.7,196.18,198.51,183.13,-4.2,10.8,6.5,18.9,23.2,1032558,1.01,-9.2,20.5,2
RL,379.87,62.2,346.59,353.06,329.36,13.7,3.0,18.3,94.2,31.1,668546,0.64,-1.4,94.2,4
RJF,146.19,48.8,143.8,152.44,160.07,1.5,-12.5,-10.3,9.5,24.3,1224613,0.75,-16.3,13.2,1
RTX,201.56,54.2,197.96,200.34,174.84,-0.7,7.3,25.2,59.8,25.4,5193350,0.61,-5.0,80.2,4
O,63.75,59.6,61.97,63.31,58.32,-1.5,11.0,11.7,22.0,15.6,5811090,0.96,-5.2,22.9,4
REG,78.4,65.9,76.19,76.05,70.84,2.4,13.5,12.2,17.6,15.9,1180359,1.25,-0.7,19.1,5
REGN,748.87,46.0,753.74,765.65,667.79,0.3,-5.9,31.7,35.9,39.7,1017460,0.74,-7.7,55.6,2
RF,27.5,58.2,25.99,27.6,26.0,8.6,-2.6,10.9,51.1,25.6,15691862,0.83,-10.3,51.1,3
RSG,214.66,40.6,219.17,221.09,222.14,-4.7,1.4,-2.6,-11.0,17.2,1381045,1.17,-15.9,5.8,0
RMD,228.87,44.6,226.58,244.21,257.42,-1.5,-9.1,-17.2,7.9,23.6,1026244,0.82,-21.7,9.5,1
RVTY,89.79,49.8,87.28,93.87,94.98,5.9,-14.0,-1.9,-5.1,36.8,1318922,0.5,-23.7,9.0,1
HOOD,69.19,42.8,71.03,76.39,107.45,-9.1,-40.0,-54.6,58.4,65.6,35471568,0.65,-54.6,73.6,0
ROK,396.0,64.8,364.65,385.06,369.03,10.6,-3.2,16.3,75.3,28.6,920015,0.45,-7.7,77.2,4
ROL,54.23,44.2,53.95,57.94,57.91,-2.4,-10.4,-3.6,-0.6,23.0,2300060,1.19,-17.1,3.4,2
ROP,343.15,40.5,351.47,349.21,452.98,-0.8,-20.9,-33.5,-38.3,23.4,1014601,1.17,-40.7,9.0,1
ROST,221.16,60.4,214.84,205.64,169.53,5.6,15.8,48.1,57.8,24.9,2801786,1.06,-1.7,75.9,5
RCL,276.94,48.5,273.56,297.06,301.38,3.9,-10.6,-9.0,46.4,43.8,2275988,0.8,-23.4,48.3,1
SPGI,415.42,42.3,423.33,433.1,494.94,-1.0,-23.2,-14.4,-10.0,27.0,1671778,1.21,-25.9,6.6,0
CRM,164.96,28.0,185.66,190.51,234.15,-17.0,-36.4,-32.5,-34.8,33.7,9354068,1.93,-42.9,0.0,0
SNDK,851.77,68.3,707.23,648.12,282.57,37.6,125.7,556.8,2564.3,94.2,9634404,1.38,0.0,2775.7,5
SBAC,223.75,73.1,186.81,189.57,198.16,21.9,24.3,20.8,4.4,32.0,994862,1.56,-6.0,35.5,3
SLB,51.92,58.0,49.59,49.61,39.6,16.5,15.5,58.9,57.6,33.4,16837718,0.79,-3.0,65.9,4
STX,503.13,68.9,424.02,411.68,272.29,34.8,65.8,127.9,626.5,61.7,4161710,0.82,0.0,626.5,5
SRE,98.82,63.1,96.29,93.22,86.81,6.8,12.0,9.4,49.1,19.3,3768832,0.5,-0.9,49.1,5
NOW,83.0,22.4,104.65,107.78,158.01,-26.5,-41.5,-54.8,-47.2,40.7,11041772,5.31,-60.3,0.0,0
SHW,336.11,57.0,319.59,340.18,341.95,5.8,-4.6,1.3,0.7,24.4,1790906,0.8,-10.0,10.7,1
SPG,200.57,67.8,187.79,192.02,177.93,6.9,9.9,14.8,42.1,20.0,1578052,0.7,-0.5,43.0,4
SWKS,56.36,53.0,54.82,56.97,66.14,2.1,-5.2,-21.7,4.0,34.1,3189239,0.68,-30.5,7.4,1
SJM,90.91,21.6,97.25,104.34,103.43,-14.2,-8.7,-11.8,-18.4,29.5,1883982,1.11,-21.6,0.0,1
SW,42.06,54.0,39.67,43.08,41.74,5.9,-1.3,-1.1,6.0,39.7,4800733,0.65,-18.9,29.4,3
SNA,379.72,60.0,366.4,372.8,342.94,4.3,5.5,16.0,16.0,22.2,341248,1.17,-2.5,33.4,4
SOLV,65.79,46.6,65.2,70.5,74.38,-0.5,-23.6,-8.4,-0.6,28.6,1086257,1.04,-23.6,5.3,1
SO,97.15,56.5,96.42,94.67,91.42,-0.7,12.5,2.7,11.7,16.0,5460083,0.64,-2.0,18.2,5
LUV,39.56,45.7,39.19,45.09,37.13,2.5,-10.8,26.0,54.1,43.2,10336462,0.45,-27.5,67.9,3
SWK,72.19,49.0,70.11,77.99,72.95,1.5,-11.4,5.9,28.2,39.9,2111842,0.76,-20.6,34.2,2
SBUX,96.6,55.9,93.5,95.45,88.75,-3.6,9.4,22.7,16.2,29.8,9657027,0.55,-4.8,24.8,4
STT,139.42,73.6,126.18,126.97,118.27,13.9,5.9,20.5,80.5,24.8,2007036,1.17,0.0,80.5,4
STLD,190.57,61.8,175.17,184.86,156.47,9.2,12.9,29.7,60.4,34.5,1307690,0.63,-7.1,70.1,4
STE,222.58,45.0,220.33,235.43,243.44,4.8,-13.1,-6.8,1.4,24.1,668343,0.67,-16.9,4.8,1
SYK,339.15,47.3,334.65,354.58,367.43,0.8,-7.5,-7.9,-2.2,19.9,1581788,1.1,-15.3,4.3,1
SMCI,25.26,48.7,24.7,28.82,39.38,-18.3,-16.2,-56.4,-23.8,77.1,35723783,1.22,-58.4,23.0,1
SYF,72.41,65.1,67.46,69.58,73.18,13.2,-16.3,2.8,59.8,30.7,3770676,0.68,-17.8,59.8,2
SNPS,392.24,40.0,408.01,423.85,484.89,-6.3,-25.3,-19.0,-6.9,55.5,2115291,0.76,-39.2,3.1,0
SYY,72.82,35.0,77.8,83.07,78.07,-13.6,-1.2,-5.3,6.4,26.8,3428424,2.89,-19.5,7.0,1
TMUS,195.71,32.3,207.03,209.14,217.89,-8.7,-1.9,-12.6,-23.0,26.1,5014439,0.8,-25.4,7.1,0
TROW,91.49,54.5,89.11,91.79,98.84,5.6,-13.5,-11.3,8.7,24.9,1844389,0.9,-14.8,15.4,1
TTWO,197.07,44.0,199.01,204.15,233.64,-5.8,-21.4,-23.2,-7.1,29.3,1947453,0.79,-24.9,3.9,0
TPR,150.3,56.6,143.34,146.08,119.56,5.3,12.2,33.3,140.5,38.9,3276016,0.41,-6.1,142.5,4
TRGP,243.09,53.1,243.98,232.33,184.16,2.1,38.1,52.5,52.1,28.3,1616530,0.75,-3.1,68.1,4
TGT,121.89,58.0,118.48,116.2,100.06,5.3,16.7,39.9,37.4,30.6,7044376,0.52,-1.7,47.1,5
TEL,229.78,65.2,207.54,215.99,215.73,16.1,-0.5,3.6,81.6,31.4,1936396,0.62,-7.4,83.1,4
TDY,645.74,54.7,627.53,645.03,566.62,-0.1,17.6,12.0,38.9,23.4,344938,0.86,-6.2,44.0,4
TER,367.99,68.9,311.94,305.38,188.33,28.4,69.4,153.8,401.5,58.5,3523210,0.88,0.0,429.1,5
TSLA,348.95,37.1,370.85,394.31,397.35,-11.7,-21.6,-19.9,38.3,48.7,85708286,0.6,-28.8,53.4,0
TXN,214.73,66.5,195.94,206.66,188.55,13.0,13.6,21.8,50.1,34.7,7371980,0.58,-5.2,52.1,4
TPL,409.97,35.0,487.85,468.03,350.93,-22.5,31.6,35.6,0.1,46.7,445273,2.83,-24.1,50.0,3
TXT,91.39,52.1,89.43,93.14,86.02,-0.1,-2.6,8.0,39.3,24.6,1533042,0.55,-9.3,41.6,3
TMO,496.11,50.3,483.65,508.38,520.12,4.4,-19.8,-7.1,13.6,30.1,2316945,0.56,-22.3,27.5,1
TJX,161.6,55.2,158.16,156.92,144.87,3.7,2.7,17.3,27.6,17.4,5143943,0.69,-2.1,34.4,5
TKO,197.37,47.9,196.38,203.58,192.24,-1.5,-0.7,6.7,38.6,31.6,1113544,0.58,-11.9,39.9,3
TTD,20.09,31.3,22.73,25.09,45.43,-24.3,-46.1,-62.9,-59.6,65.4,14645305,0.87,-77.6,0.0,0
TSCO,45.03,41.8,45.67,49.61,53.86,-6.4,-12.2,-16.2,-11.3,26.7,5744508,0.82,-27.5,3.2,0
TT,465.71,66.4,427.48,439.54,421.53,10.4,22.3,11.5,35.6,27.9,1377813,0.91,-1.2,45.5,4
TDG,1207.18,49.1,1183.62,1259.21,1325.58,-1.5,-13.3,-5.4,-1.7,26.2,331339,0.62,-20.4,6.6,1
TRV,297.26,50.7,296.12,298.03,278.96,-1.6,5.8,9.2,23.2,19.2,1353686,1.04,-4.4,23.2,3
TRMB,64.77,45.2,65.44,66.58,76.59,-2.1,-19.7,-18.2,11.3,27.8,1588527,1.03,-24.0,15.2,0
