Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
BG,123.92,50.1,125.2,121.4,95.76,-1.5,24.6,54.5,67.4,30.9,1790641,0.5,-4.2,73.5,4
BXP,53.0,48.6,51.96,56.12,65.29,1.9,-21.0,-24.0,-8.3,28.6,1913429,0.83,-30.6,4.5,1
CHRW,163.49,41.2,168.32,178.99,146.3,-4.9,-3.9,27.8,82.5,40.4,1659114,1.22,-18.2,90.3,2
CDNS,265.66,36.8,282.39,288.83,321.34,-8.5,-18.8,-23.8,2.4,36.4,1992786,1.75,-28.8,5.6,0
CPT,101.95,54.5,98.86,103.45,104.46,1.3,-5.3,2.1,-1.7,19.7,1123364,0.83,-12.2,6.7,1
CPB,20.43,30.4,21.1,24.32,28.21,-4.0,-21.3,-29.4,-43.3,29.3,6348675,1.12,-44.4,0.0,0
COF,193.0,55.3,183.5,196.05,214.65,8.8,-22.3,-7.7,21.5,32.3,4409041,0.54,-24.9,22.2,1
CAH,215.52,53.6,211.49,217.23,185.25,-1.4,7.4,37.8,65.4,29.1,2175202,0.59,-6.0,66.2,3
CCL,27.98,56.4,25.51,28.46,28.84,17.0,-12.5,-1.2,59.3,45.3,22644307,0.86,-17.3,63.0,1
CARR,63.34,65.3,57.28,60.32,60.76,12.1,13.1,9.9,8.4,33.4,6228222,1.19,-20.9,26.3,3
CVNA,336.31,56.1,308.52,335.27,364.27,14.9,-27.4,-6.6,63.1,60.2,3589383,0.54,-29.7,71.7,2
CASY,738.17,61.1,709.23,681.33,577.74,9.6,24.4,33.9,62.1,25.2,399356,1.44,-2.7,71.9,5
CAT,790.66,67.2,715.67,723.31,558.1,12.8,28.3,58.8,173.1,31.8,2757026,0.68,0.0,180.1,4
CBOE,295.95,59.0,286.82,284.92,255.71,2.0,13.7,23.2,38.3,21.4,838020,0.84,-2.8,40.7,5
CBRE,141.22,54.6,135.72,144.56,153.78,7.1,-14.7,-7.4,21.8,30.2,1754510,0.96,-17.7,22.2,1
CDW,125.53,58.1,121.06,124.39,146.84,10.6,-5.5,-16.5,-14.2,30.8,1456772,1.0,-33.1,10.6,2
COR,320.82,40.8,324.72,345.72,326.14,-9.0,-4.3,2.5,13.6,25.2,1419737,0.72,-14.2,16.1,1
CNC,37.3,54.0,34.59,38.78,36.49,7.9,-20.0,-1.4,-41.6,62.7,9734346,0.53,-41.6,48.0,3
CNP,43.39,54.7,43.11,42.43,39.08,-0.0,15.1,12.2,21.4,15.7,5168624,0.68,-1.7,24.1,5
CF,121.32,49.0,127.68,111.26,91.48,-10.8,47.7,38.5,72.4,37.7,3028773,1.22,-11.8,72.4,4
CRL,175.65,56.8,163.87,171.96,174.5,15.1,-20.5,2.0,76.1,46.5,1055904,0.46,-22.5,76.1,3
SCHW,94.8,50.3,94.18,95.94,95.32,3.9,-5.0,1.5,24.7,21.6,9161434,1.02,-11.3,28.0,2
CHTR,218.82,48.2,218.16,223.89,250.49,1.7,3.9,-17.4,-34.6,39.6,1819593,0.75,-48.8,19.7,1
CVX,188.55,39.4,200.78,190.41,161.23,-4.3,17.4,27.0,45.3,21.2,9941631,1.12,-10.7,47.3,3
CMG,34.09,51.6,32.96,35.54,39.54,4.7,-15.0,-16.6,-31.5,38.2,17965499,0.55,-41.5,14.4,1
