price,ev,equity,pv_cfs,pv_tv,tv_pct,fcf,growth_1,growth_2,terminal,wacc
1535.6248,3377.8911,3372.3021,765.8753,2612.0158,77.3,27.46252110784014,32.955488142389946,21.187364076014585,4.241127094185303,9.184409691262767
1705.866,3751.7484,3746.1594,903.5204,2848.228,75.9,24.660629858551687,39.10191538365201,24.63831694276573,3.1839925614147218,9.062004071016565
1555.9589,3422.5456,3416.9566,722.1451,2700.4005,78.9,23.781627721604064,30.90398543890318,19.214375756175013,1.5206981142160083,6.098691809252781
1206.809,2655.7966,2650.2076,611.837,2043.9596,77.0,23.40258672989971,28.680698871917997,18.202384271990088,2.1392294690682943,6.985695997038083
1558.9627,3429.1421,3423.5531,924.255,2504.8871,73.0,31.177162003164014,33.387660243608764,20.201033259494274,1.9755152546183394,8.130089207491162
936.9266,2063.1225,2057.5335,610.1996,1452.9229,70.4,25.98349755498276,28.6777829327195,18.353536032821108,2.3717781415374533,8.815639010302723
1440.5682,3169.1424,3163.5534,847.5635,2321.5789,73.3,23.251464316353367,39.878052972193586,23.360169884924836,2.6365732690760204,9.173930618399698
748.7234,1649.8197,1644.2307,542.6483,1107.1714,67.1,20.877855486160037,32.941899853791135,15.541068696181565,1.6099757693638896,8.714390536879128
2296.7821,5049.4273,5043.8383,942.4356,4106.9917,81.3,28.389336433738602,34.362397019217475,20.296120145318707,2.824841066577955,6.862455126142615
2021.004,4443.806,4438.217,687.0476,3756.7584,84.5,22.79855579313105,30.71879672193344,20.85567128969257,3.3390792928867388,6.596963835211973
812.7655,1790.4591,1784.8701,616.8944,1173.5647,65.5,26.80070231295023,31.85005902190412,17.765752752129387,3.225837108770856,10.833110569876158
819.7317,1805.7572,1800.1682,640.6507,1165.1065,64.5,29.128532913902852,30.55597655113655,17.89506747149379,3.0154260993036552,10.912989312261937
725.8801,1599.6547,1594.0657,571.9283,1027.7264,64.2,23.72122126528919,31.989028995333946,16.89350038090864,1.8246825092964047,9.853104907747955
2011.7536,4423.4917,4417.9027,951.5772,3471.9145,78.5,30.757717621118825,33.90277113615651,22.472360949318148,3.515933310909572,8.38030596107195
2861.4374,6289.436,6283.847,970.0677,5319.3683,84.6,28.70920785927253,34.09867544476218,19.767892177775643,3.057045395864512,6.287373066246447
1954.9645,4298.7802,4293.1912,836.6559,3462.1243,80.5,24.71608513529955,34.3238522192291,23.659704392642812,3.0107549091710153,7.515831089310315
1270.4682,2795.5951,2790.0061,749.2788,2046.3163,73.2,23.634644717859985,36.28622332166554,22.216362686088274,2.8785002338013044,9.197796821904573
1703.7262,3747.0494,3741.4604,872.8719,2874.1775,76.7,25.930419305655143,36.973959589412225,20.386864431793946,2.8436131803373272,8.056270004375614
1102.7132,2427.1974,2421.6084,579.6966,1847.5008,76.1,19.947517449445726,33.08973777157397,20.36812866514685,3.07092282426851,8.340799098341538
